program_product_cd,country_nm,mnth,users
SMB,Malaysia,2022-09-01,81
SMB,Seychelles,2022-07-01,57
SMB,Sweden,2022-06-01,12392
SMB,British Virgin Islands,2022-07-01,1
MPL,Andorra,2022-09-01,350
MPL,Syria,2022-08-01,377
MPL,Qatar,2022-06-01,765
SMB,Mongolia,2022-07-01,73
MPL,Ethiopia,2022-07-01,52
MPL,Burkina Faso,2022-07-01,17
SMB,Cyprus,2022-08-01,681
MPL,Sudan,2022-08-01,71
SMB,Lebanon,2022-08-01,4
SMB,Qatar,2022-07-01,35
MPL,South Africa,2022-09-01,5604
SMB,Cameroon,2022-08-01,1
MPL,South Sudan,2022-08-01,50
MPL,Botswana,2022-09-01,26
SMB,Egypt,2022-07-01,396
MPL,Haiti,2022-09-01,6
SMB,null,2022-06-01,0
SMB,Iceland,2022-06-01,33
MPL,Australia,2022-09-01,7195
MPL,Japan,2022-09-01,34120
MPL,Central African Republic,2022-07-01,54
MPL,Tanzania,2022-07-01,208
MPL,Iceland,2022-07-01,576
MPL,Egypt,2022-06-01,6430
MPL,New Zealand,2022-07-01,586
MPL,Uruguay,2022-08-01,138
MPL,Papua New Guinea,2022-07-01,11
MPL,Morocco,2022-09-01,1170
SMB,Canada,2022-07-01,2190
SMB,France,2022-08-01,18680
MPL,?land Islands,2022-09-01,19
SMB,Estonia,2022-07-01,3284
MPL,Canada,2022-06-01,24891
MPL,Estonia,2022-06-01,48885
MPL,Mali,2022-06-01,40
MPL,Switzerland,2022-06-01,31702
MPL,Isle of Man,2022-08-01,58
SMB,Indonesia,2022-07-01,842
MPL,Madagascar,2022-08-01,22
MPL,Sri Lanka,2022-06-01,1283
MPL,Paraguay,2022-06-01,69
MPL,Georgia,2022-09-01,60463
SMB,Angola,2022-08-01,2
SMB,Philippines,2022-06-01,37
MPL,Faroe Islands,2022-06-01,31
MPL,Dominican Republic,2022-09-01,365
SMB,Cuba,2022-06-01,2
SMB,Syria,2022-07-01,9
SMB,Nigeria,2022-09-01,5
SMB,Bosnia and Herzegovina,2022-09-01,7
SMB,Mongolia,2022-08-01,67
MPL,Syria,2022-06-01,453
SMB,Sweden,2022-08-01,11527
MPL,Cuba,2022-07-01,161
MPL,Ethiopia,2022-08-01,132
MPL,Montenegro,2022-08-01,8282
SMB,United Arab Emirates,2022-06-01,1497
MPL,American Samoa,2022-06-01,1
SMB,Australia,2022-06-01,399
MPL,Papua New Guinea,2022-08-01,7
SMB,South Africa,2022-06-01,570
MPL,Saint Lucia,2022-06-01,2
MPL,Latvia,2022-09-01,48736
SMB,Cameroon,2022-07-01,2
MPL,null,2022-08-01,4
MPL,Tanzania,2022-08-01,250
SMB,Turkmenistan,2022-08-01,2
MPL,Central African Republic,2022-08-01,53
SMB,Peru,2022-09-01,14
SMB,Rwanda,2022-08-01,1
MPL,Uganda,2022-08-01,1087
SMB,?land Islands,2022-06-01,2
MPL,Jersey,2022-06-01,52
MPL,Bosnia and Herzegovina,2022-06-01,374
SMB,Kazakhstan,2022-08-01,2406
SMB,Dominican Republic,2022-06-01,31
SMB,Czechia,2022-06-01,1
MPL,Gambia,2022-07-01,8
MPL,Grenada,2022-06-01,0
SMB,Portugal,2022-06-01,343
SMB,Jersey,2022-07-01,3
SMB,Switzerland,2022-09-01,2287
MPL,Nicaragua,2022-09-01,39
MPL,Czechia,2022-07-01,4
MPL,United Arab Emirates,2022-09-01,25041
SMB,Yemen,2022-06-01,1
SMB,Greece,2022-08-01,327
SMB,Sri Lanka,2022-09-01,46
MPL,Yemen,2022-07-01,41
MPL,Ireland,2022-08-01,14682
MPL,Philippines,2022-09-01,1426
SMB,Faroe Islands,2022-09-01,1
SMB,Jordan,2022-09-01,23
MPL,French Polynesia,2022-07-01,5
MPL,Sri Lanka,2022-08-01,1290
MPL,Angola,2022-07-01,135
SMB,Angola,2022-06-01,2
SMB,Philippines,2022-08-01,30
MPL,Faroe Islands,2022-08-01,35
SMB,Slovakia,2022-08-01,713
SMB,Germany,2022-09-01,25930
MPL,Antigua and Barbuda,2022-07-01,145
SMB,France,2022-06-01,23956
MPL,Kazakhstan,2022-09-01,87923
SMB,Barbados,2022-07-01,1
MPL,Switzerland,2022-08-01,67564
MPL,Poland,2022-09-01,86703
MPL,Estonia,2022-08-01,65284
MPL,Zimbabwe,2022-09-01,35
MPL,Mali,2022-08-01,57
MPL,Madagascar,2022-06-01,17
MPL,France,2022-07-01,465988
SMB,Congo (DRC),2022-07-01,2
MPL,Canada,2022-08-01,69606
MPL,Isle of Man,2022-06-01,120
SMB,Nicaragua,2022-08-01,3
SMB,Iceland,2022-08-01,26
SMB,Montenegro,2022-09-01,403
SMB,Cambodia,2022-08-01,6
MPL,South Sudan,2022-06-01,37
MPL,Brunei,2022-07-01,20
SMB,Pakistan,2022-07-01,21
SMB,Uruguay,2022-07-01,17
MPL,Niger,2022-09-01,6
MPL,Uruguay,2022-06-01,134
MPL,Egypt,2022-08-01,12081
MPL,Turkmenistan,2022-09-01,563
MPL,Qatar,2022-08-01,999
MPL,Suriname,2022-06-01,9
MPL,Lebanon,2022-07-01,300
SMB,Sudan,2022-07-01,1
SMB,Cyprus,2022-06-01,885
MPL,Cyprus,2022-07-01,10335
MPL,Aruba,2022-09-01,10
SMB,Lebanon,2022-06-01,3
MPL,Moldova,2022-09-01,8498
MPL,Sudan,2022-06-01,75
MPL,Slovenia,2022-07-01,1355
MPL,Chile,2022-09-01,632
MPL,Guinea-Bissau,2022-08-01,16
SMB,Ecuador,2022-06-01,12
SMB,Martinique,2022-08-01,1
SMB,Serbia,2022-07-01,1182
SMB,Argentina,2022-09-01,123
MPL,Saint Martin,2022-08-01,1
MPL,Iran,2022-08-01,377
MPL,Ecuador,2022-07-01,325
MPL,Mexico,2022-08-01,2906
SMB,Ethiopia,2022-09-01,12
MPL,Mongolia,2022-09-01,2953
MPL,Vietnam,2022-08-01,3443
MPL,Serbia,2022-06-01,14886
MPL,Malta,2022-09-01,486
MPL,Taiwan,2022-09-01,617
MPL,Croatia,2022-08-01,3044
MPL,Liechtenstein,2022-07-01,48
MPL,Guyana,2022-08-01,24
MPL,Mozambique,2022-06-01,33
SMB,Belarus,2022-07-01,2505
SMB,Benin,2022-07-01,1
MPL,Denmark,2022-07-01,19433
SMB,Denmark,2022-06-01,1126
MPL,Palestine,2022-09-01,83
SMB,Austria,2022-08-01,1110
SMB,Tanzania,2022-09-01,13
MPL,Benin,2022-06-01,25
MPL,Belarus,2022-06-01,53337
SMB,Panama,2022-07-01,12
MPL,Guernsey,2022-06-01,3
SMB,Luxembourg,2022-06-01,754
MPL,Brazil,2022-09-01,2859
MPL,Ghana,2022-08-01,131
MPL,Macedonia,2022-07-01,864
MPL,Panama,2022-06-01,219
MPL,Fiji,2022-07-01,4
MPL,Kuwait,2022-07-01,98
MPL,Bangladesh,2022-09-01,975
MPL,Netherlands,2022-06-01,618228
MPL,Togo,2022-09-01,38
SMB,Kuwait,2022-06-01,3
MPL,Iraq,2022-08-01,1014
SMB,Algeria,2022-09-01,12
SMB,Fiji,2022-06-01,1
MPL,El Salvador,2022-08-01,16
MPL,United States,2022-06-01,472507
SMB,San Marino,2022-07-01,6
SMB,Bangladesh,2022-08-01,5
MPL,Albania,2022-06-01,879
MPL,Gibraltar,2022-07-01,45
MPL,U.S. Virgin Islands,2022-06-01,4
MPL,Turkey,2022-08-01,193687
MPL,United Kingdom,2022-06-01,312579
MPL,Namibia,2022-07-01,55
MPL,Greenland,2022-06-01,36
MPL,Belize,2022-06-01,37
SMB,Bahamas,2022-08-01,3
SMB,Albania,2022-07-01,76
SMB,Uzbekistan,2022-06-01,873
MPL,Italy,2022-08-01,50232
MPL,Bahrain,2022-08-01,569
SMB,Belize,2022-07-01,3
MPL,Burundi,2022-08-01,15
SMB,Nepal,2022-08-01,4
MPL,China mainland,2022-07-01,1
MPL,Slovakia,2022-09-01,6810
MPL,Kyrgyzstan,2022-06-01,13659
MPL,China,2022-09-01,2310
SMB,Hong Kong,2022-06-01,214
MPL,Hungary,2022-09-01,11116
MPL,Finland,2022-09-01,213984
SMB,Senegal,2022-06-01,2
MPL,Cambodia,2022-09-01,289
SMB,Ukraine,2022-08-01,9088
SMB,Saudi Arabia,2022-06-01,902
MPL,Malawi,2022-08-01,5
MPL,Bolivia,2022-09-01,79
MPL,India,2022-07-01,14240
MPL,Sierra Leone,2022-09-01,4
MPL,Liberia,2022-08-01,7
SMB,Palestine,2022-08-01,1
MPL,Senegal,2022-07-01,49
MPL,Libya,2022-08-01,57
MPL,Mauritius,2022-07-01,218
MPL,Monaco,2022-08-01,288
SMB,India,2022-06-01,323
SMB,Oman,2022-09-01,27
SMB,Jamaica,2022-07-01,3
SMB,Tunisia,2022-06-01,12
MPL,Argentina,2022-08-01,2017
MPL,Martinique,2022-09-01,7
MPL,Djibouti,2022-07-01,7
SMB,Afghanistan,2022-06-01,5
MPL,Belgium,2022-08-01,58878
MPL,Myanmar (Burma),2022-08-01,59
MPL,Jamaica,2022-06-01,39
MPL,Malaysia,2022-07-01,2946
MPL,Tunisia,2022-07-01,448
MPL,Japan,2022-06-01,48929
SMB,Iceland,2022-09-01,32
SMB,Morocco,2022-07-01,21
MPL,Niger,2022-08-01,5
MPL,Australia,2022-06-01,6214
SMB,Montenegro,2022-08-01,483
MPL,South Africa,2022-06-01,9229
MPL,Haiti,2022-06-01,7
MPL,Morocco,2022-06-01,599
MPL,Cameroon,2022-07-01,52
MPL,Turkmenistan,2022-08-01,344
SMB,Tanzania,2022-08-01,13
MPL,Bermuda,2022-07-01,6
MPL,Dominica,2022-07-01,2
MPL,Egypt,2022-09-01,13166
SMB,Japan,2022-07-01,3329
MPL,Qatar,2022-09-01,949
MPL,Aruba,2022-08-01,6
MPL,Mongolia,2022-08-01,1828
SMB,Ethiopia,2022-08-01,4
MPL,Moldova,2022-08-01,10136
SMB,Georgia,2022-07-01,3389
MPL,Sri Lanka,2022-09-01,1006
SMB,Philippines,2022-09-01,40
MPL,Faroe Islands,2022-09-01,25
MPL,Georgia,2022-06-01,37876
SMB,Germany,2022-08-01,32662
MPL,?land Islands,2022-06-01,8
MPL,Kazakhstan,2022-08-01,69482
MPL,Portugal,2022-06-01,3353
MPL,Mali,2022-09-01,51
MPL,Estonia,2022-09-01,39132
MPL,Canada,2022-09-01,39483
MPL,Switzerland,2022-09-01,66252
MPL,Poland,2022-08-01,208196
MPL,Slovakia,2022-08-01,18491
MPL,Barbados,2022-07-01,5
SMB,Kazakhstan,2022-09-01,4449
MPL,Macau,2022-06-01,29
SMB,Isle of Man,2022-06-01,11
MPL,Congo (DRC),2022-07-01,56
SMB,Zimbabwe,2022-09-01,1
SMB,Madagascar,2022-06-01,2
SMB,Switzerland,2022-08-01,2134
MPL,Nicaragua,2022-08-01,38
MPL,British Virgin Islands,2022-07-01,20
SMB,Macau,2022-07-01,4
SMB,Greece,2022-09-01,272
MPL,Mauritania,2022-06-01,34
MPL,United Arab Emirates,2022-08-01,22371
SMB,Sri Lanka,2022-08-01,54
MPL,Philippines,2022-08-01,1270
SMB,Jordan,2022-08-01,25
MPL,New Caledonia,2022-07-01,1
MPL,Cura?ao,2022-07-01,3
MPL,Ireland,2022-09-01,6452
MPL,Dominican Republic,2022-08-01,388
MPL,Russia,2022-06-01,15194589
SMB,Suriname,2022-06-01,1
SMB,Bosnia and Herzegovina,2022-08-01,23
SMB,Nigeria,2022-08-01,5
SMB,Andorra,2022-07-01,29
MPL,Romania,2022-06-01,16497
SMB,Sweden,2022-09-01,8849
SMB,Romania,2022-07-01,991
MPL,Andorra,2022-06-01,503
SMB,Russia,2022-07-01,556396
SMB,Slovenia,2022-07-01,128
SMB,South Sudan,2022-06-01,1
MPL,Cambodia,2022-08-01,324
MPL,Pakistan,2022-07-01,208
MPL,Montenegro,2022-09-01,7285
SMB,Congo,2022-08-01,1
MPL,Latvia,2022-08-01,76256
