,name,storyId,mindate
0,SME::Предложения банка. Как улучшили приложение [Android] [Анимированная],16082,2022-03-22 15:17:25
1,SME::Предложения банка. Как улучшили приложение [iOS] [Анимированная],16081,2022-03-22 15:16:48
2,SME::Предложения банка. Как улучшили приложение [iOS] [Статичная],16279,2022-03-22 15:18:43
3,SME::Предложения банка. Как улучшили приложение [Android] [Статичная],16280,2022-03-22 15:18:05
