name,storyId,mindate,maxdate,days,uimp,uc,open_rate,cookie,cookie_rate,button,button_prc,like,like_prc,dis,dis_prc,page_1,page_2_prc,page_3_prc,page_4_prc,page_5_prc,page_6_prc
SME::Предложения банка. Как улучшили приложение [Android] [Анимированная],16082,2022-03-22 15:17:25,2022-07-01 00:45:30,100,240170,27744,"11,55181746",20865,"75,20544983",238,"0,8578431373",129,"0,4649653979",14,"0,05046136101",27066,"60,82908446","89,14601555","92,44395994","92,77712264","90,12551636"
SME::Предложения банка. Как улучшили приложение [iOS] [Анимированная],16081,2022-03-22 15:16:48,2022-06-30 23:55:07,100,262940,29115,"11,07286833",20123,"69,11557616",246,"0,8449252962",152,"0,5220676627",12,"0,04121586811",29153,"72,45909512","90,7971975","92,56517205","91,98490481","90,06796889"
SME::Предложения банка. Как улучшили приложение [iOS] [Статичная],16279,2022-03-22 15:18:43,2022-05-16 23:44:56,55,119960,5484,"4,571523841",3708,"67,61487965",84,"1,531728665",30,"0,5470459519",3,"0,05470459519",5541,"74,53528244","91,38014528","92,66030737","92,42207607","90,81064356"
SME::Предложения банка. Как улучшили приложение [Android] [Статичная],16280,2022-03-22 15:18:05,2022-05-16 23:44:35,55,110311,5276,"4,78284124",3244,"61,48597422",62,"1,175132676",27,"0,5117513268",4,"0,07581501137",5139,"63,10566258","90,7493062","93,57798165","91,902687","90,20150138"
