Event,Event Description,Event Number of Properties,Event Property,Property Description
Origination_Meeting_Gray_Zone_Error,"	При отображении плашки ""Не осуществляем доставку по указанному адресу""",1,id,
Origination_Meeting_Gray_Zone_Сhoice,"	При тапе на одну из кнопок выбрать на плашке ""Не осуществляем доставку по указанному адресу""",2,button,
,,,id,
Origination_Meeting_Members_Shown,"	При показе экрана ""Встреча. Участники встречи""",1,id,
Origination_Meeting_New_Address_Type,При изменении типа адреса (только у ООО). Передаем выбранный адрес,2,id,
,,,type,
Origination_Photo_Passport_Done,При успешном скане паспорта (успешным считаем автозаполнение хотя бы одно поля ПД),2,id,
,,,who,
Origination_Prepare_Passport_Shown,"	При показе заглушки ""Приготовьте паспорт""",1,id,
Origination_Print_Passport_Info_Error,"	При ошибке валидации при вводе данных паспорта вручную. Передаем поля, которые не прошли валидацию",2,fieldType,
,,,id,
Origination_Print_Passport_Shown,При показе экрана Паспортных данных,2,id,
,,,who,
Origination_Scan_Passport,"	При тапе клиента на кнопку ""Отсканировать паспорт"" (т.к. не можем определять отрылась сканировалка паспорта или нет)",2,id,
,,,who,
Origination_Signing_Document_Done,При успешном подписании документа,3,document,
,,,id,
,,,type,
Origination_Signing_Document_Shown,При показе pdf конкретного документа,3,document,
,,,id,
,,,type,
Origination_Signing_Offer_Shown,При показе оффера Подпишите документы / Подпиши конкретный документ,2,documents,
,,,id,
Origination_Signing_Sign,При тапе на кнопку Подписать (т.к. не можем отправить событие выше),1,id,
Origination_Tax_System_Error_Shown,При ошибке на экране системы налогообложения,1,errorReason,
Origination_Tax_System_Shown,"	При показе экрана ""Ваша система налогообложения""",0,,
Origination_Welcome_To_TB_Shown,"	При показе экрана ""Добро пожаловать в Тинькофф Бизнес""",1,id,
Story_Action,При любом действии внутри истории (переход по диплинку или вебвью),7,action_kind,
,,,actionType,
,,,block_guid,
,,,blockGuid,
,,,step,
,,,storyId,
,,,text,
Story_Closed,При закрытии истории,5,name,
,,,step,
,,,storyId,
,,,time,
,,,type,
Story_Disliked,При дизлайке истории,3,name,
,,,step,
,,,storyId,
Story_Last_Step_Shown,При показе последнего шага истории,2,stepCount,
,,,storyId,
Story_Liked,При лайке истории,3,name,
,,,step,
,,,storyId,
Story_Saved,При сохранении истории,3,name,
,,,step,
,,,storyId,
Story_Shared,При шаринге истории,5,app_name,
,,,appName,"	приложение, в которое пошарили"
,,,name,
,,,step,
,,,storyId,
Story_Shown,При показе истории,16,category,
,,,deeplink_source,
,,,first,
,,,is_commentable,
,,,name,
,,,popup,
,,,screen,
,,,serial_number,
,,,shownBy,
,,,sound,
,,,step,
,,,stepCount,
,,,storyId,
,,,style,
,,,time,
,,,videoPreview,
Story_Sound_Action,При включении/выключении звука в истории,3,action,
,,,storyId,
,,,tap,
Story_Step_Shown,При показе шага истории (кроме первого и последнего),4,step,
,,,storyId,
,,,storyName,
,,,time,
Story_Unsaved,При удалении истории из сохраненных,3,name,
,,,step,
,,,storyId,
Biometrics_Setup_Error,"	При ошибке подключения входа по биометрии(допустим, не зашифровался пин-код)",1,errorType,
Biometrics_Setup_Success,При успешном подключении входа по биометрическим данным,0,,
Biometrics_Shown,"	При показе экрана ""Подключение Touch ID"" или экрана ""Подключение Face ID""",1,type,
Biometrics_Skipped,При нажатии на крестик на онбординге биометрии,0,,
Card_Input_Change,При изменении номера карты в поле ввода. Слать только после успешного сканирования карты,0,,
Card_Input_No_Card,"	При показе попапа с номером телефона для звонка в КЦ, после нажатия на ""У меня нет карты""",1,screen,
Card_Input_Scan,При успешном сканировании карты,2,authorization,
,,,NFC,
Card_Input_Shown,"	При показе экрана ""Введите номер карты""",0,,
Password_Create_Shown,"	При показе экрана ""Задайте пароль""",0,,
Password_Created,Пароль установлен,0,,
Password_Input_Not_Me,"	При выборе одного из вариантов на выпадающем списке при нажатии ""Я не ..."" на экране ""Здравствуйте, ...""",1,clickItem,
Password_Input_Shown,"	При показе экрана ""Здравствуйте, ...""",0,,
Phone_Password_Conversion_Data,Событие отправляется после первого входа в приложение и после удаления/добавления пароля телефона. Необходимо только для IOS.,1,Password,"	true - если пароль имеется на телефоне (пароль телефона, а не пароль в приложении), false - пароль не установлен на телефоне"
Pin_Current_Backend_Error,При ошибке с бекенда при введении текущего пин-кода,5,aim,
,,,aim_application,
,,,authType,
,,,errorType,
,,,possible_applications,
Pin_Current_Device_Error,При ошибке при всяких дешифровках текущего пин-кода,4,aim,
,,,authType,
,,,errorType,
,,,possible_applications,
Pin_Current_Shown,При показе экрана с вводом текущего пин-кода,3,aim,
,,,app,
,,,thisapp,
Pin_Current_Success,При успешном вводе текущего пин-кода,1,authType,
Pin_Setup_Device_Error,При ошибке при всяких шифровках нового пин-кода,2,aim,
,,,errorType,
Pin_Setup_Shown,"	При показе экрана ""Установка PIN-кода"" (как при первой установке, так и при смене пина)",1,aim,
Pin_Setup_Success,"	При успешном задании кода доступа на экране установки PIN-кода (как при первой установке, так и при смене пина)",1,aim,
Security_Question_Input_Forget,"	При тапе на надпись ""Я забыл ответ"" на экране ввода ответа на контрольный вопрос",1,clickOption,
Security_Question_Input_Shown,При показе экрана ввода ответа на контрольный вопрос,0,,
SmsCode_Shown,"	При показе экрана ""Код подтверждения"" для подтверждения номера телефона только в момент авторизации или регистрации. Не срабатывает при добавлении функций с подтверждением по смс.",0,,
Telephone_Input_Shown,"	При показе экрана ""Введите номер телефона""",2,aim,
,,,phone_field,
BC_All_List_Shown,,0,,
BC_CardPage_Scroll,,0,,
BC_CardPage_Search,,0,,
BC_CardRename_Btn,,1,Button,
BC_CardRename_Save,,1,FromScreen,
BC_Limits_Change_Shown,,1,limitsType,
BC_NewLimits_Cash,,1,Limit,
BC_NewLimits_Merch,,2,Limit,
,,,LimitScreen,
BC_Offer_Currency_Card_Set,,0,,
BC_Offer_Currency_Card_Shown,,0,,
BK_Action_Set,БК. Общее. При нажатии на любое действие,3,ButtonType,
,,,pinFlg,
,,,VirtualFlg,
BK_Card_Actions_Shown,,1,pinFlg,
BK_Card_Shown,,8,actionsBtns,
,,,ownedByCurrentUser,
,,,pinFlg,
,,,status,
,,,tokenAllowedFlg,
,,,ucid,
,,,virtualFlg,
,,,walletUserFlg,
BK_Category_Set,"	При показе экрана ""Категории""",1,category,
BK_Category_Shown,"	При показе экрана ""Категории""",1,category,
BK_Fail_Pin_Shown,Переход на экран не успешной смены пина,1,pinFlg,
BK_Issue_Block_Shown,,1,cardType,
BK_Issue_Card_Set,"	Нажатие на кнопку ""Заказать карту""",3,CardCount,
,,,Currency,
,,,Screen,
BK_Issue_Cardtype_set,,1,cardType,
BK_Issue_People_set,,1,personType,
BK_Issue_Success_Shown,,2,cardType,
,,,WalletAvailable,
BK_MainPage_Cards,,1,CardsScreen,
BK_MainPage_ShowCards,,3,CardCount,
,,,Currency,
,,,OpenFlg,
BK_offer_virtual_card,,2,ButtonType,
,,,WalletAvailable,
BK_Pin_Offer_Shown,При показе оффера установки ПИНа,1,CardCount,
BK_Pin_Set,,1,pinFlg,
BK_Spending_Preference_Shown,"	При показе экрана ""Настроить траты""",5,cashLimit,
,,,cashLimitEnd,
,,,categorySelectedFlg,
,,,spendingLimit,
,,,spendingLimitEnd,
BK_Success_Pin_Shown,,1,pinFlg,
Currency_Rate_Orders_Shown,При каждом успешном показе экрана Заявки на обмен валюты,1,ordersTab,активный таб
Incoming_Transit_Confirm_Btn_Click,"	При нажатии на кнопку ""Подтвердить"" в деталях платежа",0,,
Incoming_Transit_Confirmation_Additional_Info,"	При успешном показе экрана второго шага ""Дополнительная информация"" при подтверждении валютного платежа (Слать при каждом открытии, в том числе, если переходим на этот шаг с шага ""Контракт"")",0,,
Incoming_Transit_Confirmation_Contract,"	При успешном показе экрана шага ""Контракт"" при подтверждении валютного платежа (Слать при каждом открытии, в том числе, если переходим на этот шаг с шага ""Дополнительная информация"")",0,,
Incoming_Transit_Contract_Btn_Click,При выборе контракта на экране Контракты,1,contractType,
Incoming_Transit_Contract_Edit_Confirm_Shown,"	При появлении pop-up ""Подтверждение о внесении изменений в контракт""",0,,
Incoming_Transit_Contracts_Shown,При успешном показе экрана Контракты после нажатия на кнопку Выбрать/Создать контракт,0,,
Incoming_Transit_Info_Shown,При показе экрана с деталями о валютном платеже,1,paymentStatus,
Incoming_Transit_Sent,При успешной отправке валютного платежа,1,Confirmationtype,
Incoming_Transit_Shown,При каждом успешном показе экрана На подтверждение.,0,,
Payments_Incoming_Transit_Docs_Upload_Click,"	При выборе источника файла (камера, галерея, файловый менеджер)",1,upload_type,
Excerpt_Done,При успешном скачивании/просмотре/отправки выписки,4,extractGroup,выборка пользователя
,,,extractType,тип действия с выпиской
,,,operationsTypes,выбранные типы операций
,,,period,выбранный период
Main_Shown,При показе Главной (в том числе после закрытия шторки с компаниями),0,,
Search_INFO_Action,Слать событие если после ввода последнего символа прошло 3 секунды бездействия,1,enteredPhrase,введенная строка
Search_MAIN_Shown,При открытии стартового экрана поиска,0,,
Search_MOVE_Action,При переходе с экрана поиска в сервис,3,group,
,,,service,название сервиса на который перешли
,,,source,
Deposit_Open_Shown,"	Когда клиент зашел на страницу открытия депозита (где видит срок, ставку)",0,,
Deposit_Refill_Confirm_Shown,Клиент нажал пополнить и попал на экран ввода смс,0,,
Deposit_Refill_Sent,"	Клиент успешно ввел смс при пополнении, от бэка получили ОК",0,,
Deposit_Refill_Shown,Клиент открыл экран пополнения депозита,0,,
Limits_Changed,При успешном изменении лимитов,2,category,категория лимитов
,,,limitsType,тип лимитов
More_Info_Item_Click,"	При тапе на Банкоматы, Точки пополнения, Помощь бизнесу, Связь с банком, О приложении в Инфо",1,itemType,
More_Services_Item_Click,"	При тапе на пункты Tinkoff Бухгалтерия, Пригласи друга, Спецпредложения в Сервисах, Торговый Эквайринг, Обмен валют и т.п.",1,itemType,
More_Settings_Item_Click,"	При тапе на Вход и авторизация, Лимиты, Тарифы, Уведомления в Настройках",1,itemType,
More_Shown,При каждом открытии экрана Еще (а также при выборе таба внутри экрана Еще) с параметром активного таба,1,activeTab,
ClosingDocument_Create,После открытия формы создания ЗД,3,actionType,
,,,from,
,,,type,
ClosingDocument_Shown,При открытии экрана Закрывающие документы,0,,
ClosingDocument_Shown_List,Клиент зашел на вкладку в список ЗД,1,type,
Emloyee_Create_Form,При открытии формы создания сотрудника (при редактировании не слать),1,creationType,
Emloyee_Create_Send_Button,При успешной отправке анкеты сотрудника из формы создания сотрудника,0,,
Employee_Button_Click,При тапе по кнопкам в любом виде сотрудника,2,buttonType,
,,,employeeStatus,
Employee_Shown,При заходе в конкретного сотрудника,2,bankType,
,,,employeeStatus,
Registry_Button_Click,При тапе по кнопкам в любом виде реестра,4,buttonType,
,,,recipientType,
,,,registerStatus,
,,,registerType,
Registry_Create_Form,При открытии формы создания реестра (при редактировании не слать),2,creationType,
,,,recipientType,
Registry_Create_Send_Button,При успешной отправке анкеты реестра из формы создания реестра,2,recipientType,
,,,registerType,
Registry_Shown,При заходе в конкретный реестр,3,recipientType,
,,,registerStatus,
,,,registerType,
Invoice_Delete,"	При успешном удалении платежа (платежей, через мультивыбор). (Шлем со всех экранов: Входящие, Исходящие, Черновики)",1,cnt,
Invoice_Details_Shown,При каждом показе экрана с деталями по инвойсу,3,detailsActiveTab,
,,,invoiceStatus,
,,,paymentStatus,
Invoice_Done,При успешном выставлении счета,0,,
Invoice_Incoming_Shown,При каждом успешном показе экрана Входящие счета,1,activeTab,
Invoice_Outcoming_Marked_Payed,"	При успешной отметке инвойса (или инвойсов, через мультивыбор) оплаченным",1,cnt,
Invoice_Outcoming_Shown,При каждом успешном показе экрана Исходящие счета,1,activeTab,
Invoice_Pay,При нажатии на Оплатить в деталях счета,0,,
Notification_On,При первом включении любого способа уведомления для искусственного канала,0,,
Synthetic_Channel_Shown,При показе экрана искусственного канала,0,,
Counterpartry_Account_Req,При показе экрана реквизитов счета после нажатия на счет на экране со сведениями о контрагенте,0,,
Counterparty_Action_Sheet_Shown,"	При показе списка ""Платеж"" и ""Счет на оплату"" после нажатия на контрагента в топ-4",0,,
Counterparty_All_Shown,"	При показе экрана Контрагенты ""Все""",0,,
Counterparty_Check_ArbitrationCases_Go_Down,Пролистывание экрана с судами до конца,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_ArbitrationCases_Shown,Показ экрана с судебными делами в ПКА,1,source,"	tab - если перешли по синей кнопке, button - если перешли по кнопке ""Все/Посмотреть все"""
Counterparty_Check_Contacts_Go_Down,Пролистывание экрана с контактами до конца в ПКА,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_Contacts_Shown,Показ экрана с контактами в ПКА,1,source,"	tab - если перешли по синей кнопке, button - если перешли по кнопке ""Все/Посмотреть все"""
Counterparty_Check_Counterparty_Error,При ошибке загрузки экрана с результатами проверки КА,2,inn,ИНН проверяемого контрагента
,,,reason,"	источник ошибки: parsing - если ошибка парсинга, back - если ошибка бэка (""erroneous"": true)"
Counterparty_Check_Counterparty_Go_Down,Пролистывание экрана с результатами проверки КА до конца,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_Counterparty_Shown,Показ экрана с результатами проверки КА,2,inn,
,,,view,"	full – полный вид (с кнопками ""Создать платеж, Выставить счет"", открывается из проверки контрагентов), short – шторка без кнопок ""Создать платеж, Выставить счет"", открывается из карточки контрагента, из платежной формы"
Counterparty_Check_Hint_Click,При клике на знак вопроса с подсказкой в ПКА,4,check_view,
,,,hint_type,"	question – подсказка в знаке вопроса, full_screen – подсказка в шторке"
,,,hintType,
,,,section,напротив какого поля нажата подсказка
Counterparty_Check_Important_Go_Down,Пролистывание экрана с важной информацией до конца в ПКА,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_Important_Shown,Показ экрана с важной информацией,1,source,"	tab - если перешли по синей кнопке, button - если перешли по кнопке ""Все/Посмотреть все"""
Counterparty_Check_Main_Shown,Показ экрана Проверка контрагентов (с поиском),0,,
Counterparty_Check_NewInvoice_Click,"	При клике на ""Выставить счёт"" в проверке контрагента",0,,
Counterparty_Check_NewPayment_Click,"	При клике на ""Создать платеж"" в проверке контрагента",0,,
Counterparty_Check_NotFound_Shown,Когда контрагент не найден в ПКА,0,,
Counterparty_Check_OKVEDList_Go_Down,Пролистывание экрана с видами деятельности до конца в ПКА,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_OKVEDList_Shown,Показ экрана с видами деятельности,1,source,"	tab - если перешли по синей кнопке, button - если перешли по кнопке ""Все/Посмотреть все"""
Counterparty_Check_Requsites_Go_Down,Пролистывание экрана с реквизитами до конца в ПКА,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_Requsites_LeaderList_Go_Down,Пролистывание экрана с руководителями до конца	в ПКА,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Check_Requsites_LeaderList_Shown,Показ шторки с руководителями в ПКА,0,,
Counterparty_Check_Requsites_Shown,Показ экрана с реквизитами в ПКА,1,source,"	source: tab - если перешли по синей кнопке, button - если перешли по кнопке ""Все/Посмотреть все"""
Counterparty_Check_Search_Change,Поисковые запросы в ПКА,2,enteredPhrase,
,,,query,
Counterparty_Check_Search_Error,При ошибке загрузки экрана с результатами проверки КА,0,,
Counterparty_Details_Account_Click,Клик/тап на счёт в острове со счетами в карточке контрагента,0,,
Counterparty_Details_Account_Shown,Показ экрана со счётом контрагента в карточке контрагента,1,main,
Counterparty_Details_Check_Error,"	Ошибка загрузки проверки контрагента на экране ""Карточка контрагента""",0,,
Counterparty_Details_Contact_Click,Клик на контакт в острове с контактами в карточке контрагента,0,,
Counterparty_Details_Contact_Shown,Показ экрана с контактом контрагента в карточке контрагента,0,,
Counterparty_Details_Go_Down,Скролл карточки контрагента вниз до конца,1,scroll_available,Доступен ли скролл при открытии экрана
Counterparty_Details_Invoice_Create,"	Клик на кнопку ""Выставить счет"" в карточке контрагента",1,source,"	где нажата кнопка: 
details_main – из карточки контрагента (из шапки)
account – с экрана счёта"
Counterparty_Details_Island_Click,"	Клик на ""Посмотреть все""/""Все"" на одном из островов в сводке на карточке контрагента",1,island,"	operations – остров с операциями (только веб)
express_check – остров Экспресс проверка 
requisites – остров Реквизиты
okveds – остров Виды деятельности
contact_data – остров Контактные данные
accounts – остров Счета
contacts – остров Контакты"
Counterparty_Details_Mark_Favourite,Клик на звезду – добавление контрагента в избранные,1,action,"	add – добавил в избранные
delete – удалил из избранных"
Counterparty_Details_Payment_Create,"	Клик на кнопку ""Создать платеж"" в карточке контрагента",1,source,"	details_main – из карточки контрагента (из шапки)
account – с экрана счёта"
Counterparty_Details_PhoneOrMail_Click,Клик на телефон или почту контакта контрагента на экране с контактом контрагента в карточке контрагента,1,field,"	На какое поле нажали:
phone - телефон
email - почта"
Counterparty_Details_Shown,"	Показ экрана ""Карточка контрагента""",0,,
Counterparty_Favourite_Shown,При показе экрана со списком своих избранных контрагентов,0,,
Counterparty_Info_Shown,"	Старая карточка контрагента (При показе экрана со сведениями о контрагенте при выборе контрагента с экрана ""Контрагенты"" (как со вкладки ""избранные"", так и со вкладки ""все""))",0,,
Counterparty_Main_Error,При ошибке загрузки экрана с разделом Контрагенты,0,,
Counterparty_Main_Shown,При показе экрана с разделом Контрагенты,0,,
Counterparty_MyCounterparties_Shown,При показе экрана Мои контрагенты,0,,
Company_Change_Done,При успешной смене компании,0,,
Company_Change_Shown,,0,,
Error,любая ошибка в приложении,2,code,"	очевидный код ошибки для группировки в аналитике (не очень актуально, нужно понять как улучшить и для чего использовать)"
,,,message,сообщение которое вывели пользователю
Main_Company_Change,При тапе на кнопку смены Компании,0,,
Sms_Resend_Tap,нажали «Отправить еще раз»,0,,
Tinkoff_Business_Background_Enter,Слать каждый раз при сворачивании приложения,0,,
Tinkoff_Business_Foreground_Enter,Слать каждый раз при разворачивании приложения,0,,
New_Product_Account_Done,При успешной подаче заявки на открытие новых счетов,1,currency,
New_Product_Application_Done,При успешной подаче заявки на новый продукт,1,applProduct,
New_Product_Shown,При показе экрана Новый продукт,1,from,
New_Product_Shown_Account_Currency,При показе экрана Валюта счета,0,,
Overnight_Offer_Out,При закрытии оффера Овернайтов,2,offerNo,
,,,offerVar,
Overnight_Offer_Shown,При показе оффера Овернайтов после выбора клиентом этого продукта,3,offerNo,
,,,offerVar,
,,,way,
login,"	вошли в приложение

заблокировано в Amplitude с 09.07.2018 3млн событий в месяц",3,code_enabled,bool (включена ли галка задать пин) а зачем это?
,,,method,"	login_password (- полная авторизация по логину паролю), pin (- вход по пин-коду), touch_id, face_id ((если умеем различать))"
,,,user_id,"	contact_id из /secure/userInfo, например 1-A43BL8Y, для анонимов пустой."
Overnight_Replenishment_Success,При успешном пополнении овернайта,0,,
Draft_Saved,"	сохранили черновик платежа

заблокировано в Amplitude с 9.07.2018. Автоматическое сохранение происходит 8 раз за платежку и сильно жрет лимит",2,action,"	save (нажали кнопку сохранить), form (закрыли форму), auto (оно само сохранилось)"
,,,payment_id,id операции
Payment_Change_After_QR_Scan,При изменении какого-либо поля на форме платежа после сканирования QR,3,aim,тип изменения
,,,fieldType,тип поля
,,,paymentType,тип платежа
Payment_Create_Shown,При открытии формы создания платежа. (При заходе на форму),2,aim,действие над платежом
,,,provider,провайдер платежа
Payment_Details_Shown,При показе экрана с деталями по платежу.,3,from,
,,,paymentStatus,
,,,provider,провайдер платежа
Payment_Sent,"	При успешной отправке платежа (кривое событие, баги ищи в справочнике)",2,cnt,
,,,provider,
Payments_Shown,"	экран Платежи, генерируем на каждом табе",1,tab,"	create (на андроид это экран нового плОтижа), drafts, toSign, queue"
QR_Scanned,При успешном скане QR-кода,2,paymentType,тип платежа
,,,QR_ID_Invoice,
QR_Scanner_Error,При вылетании попапа об ошибке сканирования,0,,
QR_Scanner_Shown,При открытии экрана для скана QR-кода,1,from,
Payment_Photo_Change_After_Recognition,При изменении какого-либо поля на форме платежа.,2,paymentType,
,,,photoFieldType,
Payment_Photo_Error,При вылетании попапа об ошибке распознавания,1,paymentType,
Payment_Photo_Highlighted_Fields_After_Recognition,"	После распознавания платежа по фото. Шлем как флаг для каждого поля, в котором сервис не уверен и подсвечивает его. Для каждого поля - отдельное событие!",2,paymentType,
,,,photoFieldType,
Payment_Photo_Shown,"	При открытии экрана с камерой после нажатия кнопки ""Платеж по фото""",1,paymentType,
Payment_Photo_Success,"	При успешной обработке изображения, если делается платеж по фото.",1,paymentType,
Aggregate_Go_Down,Репутация. При пролистывании экрана конкретного агрегата до конца,2,agrType,
,,,problemFlg,
Aggregate_Shown,Репутация. При открытии экрана конкретного агрегата,3,agrType,
,,,problemFlf,
,,,problemFlg,
Dislike_Situation_Click,Репутация. При нажатии на Dislike в ситуации,2,agrType,
,,,sitType,
Like_Situation_Click,Репутация. При нажатии на Like в ситуации,2,agrType,
,,,sitType,
Rep_Info,При нажатии на Инфо,0,,
Rep_Info_Go_Down,При пролистывании странички Инфо до конца,0,,
Rep_Profile_Initialization,"	При тапе на плашку ""анкета"" на основном экране сервиса ""Репутация""",2,percent,
,,,status,
Rep_Question_Answer,При уходе с экрана вопроса. Слать только если ответ заполнен,4,answerType,
,,,questNumber,
,,,questType,
,,,questWeight,
Rep_Question_Shown,При показе экрана с вопросом,4,prefillFlg,
,,,questNumber,
,,,questType,
,,,questWeight,
Reputation_Go_Down,При пролистывании странички вниз до конца,0,,
Reputation_Shown,При заходе на страницу Репутации,0,,
Situation_Link,Репутация. При нажатии на ссылку внутри конкретной ситуации,4,agrType,
,,,linkType,
,,,problemFlg,
,,,sitType,
Situation_Shown,При разворачивании конкретной ситуации в агрегате,2,agrType,
,,,sitType,
Documents_To_Sign_Shown,При каждом успешном показе экрана Документы на подпись,1,documents,
Drafts_Shown,При каждом успешном показе экрана Черновики,1,draftsActiveTab,
Events_Shown,"	При тапе на раздел События, отправлять каждый раз при заходе на этот раздел",0,,
Payment_Delete,При успешном удалении платежа с экрана Черновиков,2,cnt,
,,,provider,
Payment_Revoke,При успешном отзыве платежа,3,cnt,
,,,deletedFlg,
,,,provider,
Payments_Declined_Shown,При каждом успешном показе экрана Отклоненные,0,,
Payments_Search_Click,При тапе на поиск (в тулбаре или ленте платежей),1,fromScreen,
Payments_Submitted_Shown,При каждом успешном показе экрана Очередь оплаты.,0,,
Payments_To_Sign_Shown,При каждом успешном показе экрана На подпись,0,,
Create_Shown,При показе экрана Создать. Слать при каждом появлении на дисплее телефона,0,,
Enter_Pin_Shown,При показе экрана ввода PINa для входа,0,,
Login_Password_Shown,При показе экрана ввода логина и пароля,0,,
Application_Shown,показали форму заявки на открытие счета,0,,
CrossPromo_Tap,тапнули на одно из наших приложений,2,app,"	на какое приложение тапнули, как сервер присылает title, например «Тинькофф»"
,,,pos,int номер в карусели с нуля
Start_Shown,"	показали первый экран в приложении (где вход или стать клиентом)

заблокировано в Amplitude с 09.07.2018 3млн событий в месяц, при 69к App_Launch_First, явно ошибка в реализации",0,,
Accounts_Button_Click,При тапе по кнопкам в любом типе счета счете,2,accountType,
,,,buttonType,
Accounts_Details_Item_Click,При тапе на кнопки в Деталях счета,3,accountType,
,,,buttonType,
,,,itemType,
Accounts_Shown,"	При показе экрана счёта, а также при свайпе между счетами",6,accountActiveTab,
,,,accountType,
,,,currency,
,,,mainAcc,
,,,redesigned,
,,,tariff,
Analytics_Shown,"	показали аналитику по счету, при переключении сегмента или периода еще раз генерим.",3,account_id,id счета
,,,period,"	d7, d30, m3, custom"
,,,segment,"	balance, details"
Operations_Details_Shown,При показе экрана Детали операции,4,accountType,
,,,fromTab,
,,,operationCategory,
,,,operationType,
Operations_Search_Click,При тапе на поиск (в тулбаре или ленте операций),2,accountType,
,,,clickFrom,
Operations_Search_Filter_Applied,При применении фильтра в поиске по ленте операций,3,accountType,
,,,operationsTypes,
,,,period,
Operations_Search_Filter_Click,При тапе на фильтр в поиске,1,accountType,
Requisites_Shown,"	При успешном показе экрана Реквизиты. Слать в том числе, после закрытия шторки о способе шаринга реквизитов",5,account_id,id счета
,,,accountType,
,,,currencyCode,
,,,language,
,,,requisiteGroup,
Tariffs_Change,Нажали поменять тариф и подтвердили смской,1,oldTariff,
Tariffs_Option_Hint_Tap,Тап на хинт у тарифа,2,lookTariff,
,,,option,
Tariffs_Option_Prepaid,Клиент подключил авансом опции,1,option,
Tariffs_Option_Switch,Нажали на действие с опцией и подтвердили смской,2,buttonType,
,,,option,
Tariffs_PDF_Shown,Тап на пдфку у тарифа,1,lookTariff,
Tariffs_Shown,"	Клиент с настроек зашел в раздел тарифов, генерим каждый раз при обновлении экрана",1,tariffCode,
TA_Final_screen_Shown,При показе финального экрана (при успешной подаче заявки на Торговый эквайринг),0,,
TA_Product_Page_Shown,При показе продуктового экрана заявок на Торговый эквайринг,2,picture,
,,,title,
Chat_Shown,Зашли в чат,0,,
What_New_Shown,При открытии экрана Что нового,0,,
AboutCompany_Change_Open,,2,changeDatа,
,,,otp,
AboutCompany_FinancialMonitoringDoc_Open,,0,,
AboutCompany_Shown,,0,,
AccChoose_Close,,0,,
