month_dt,clients_ttl,user_clickrd_first_session,users_share_first_session,user_clickrd_third_session,users_share_third_session,user_clickrd_fifth_session,users_share_fifth_session
2022-01-01,25409,2516,0.0990200322720296,2744,0.107993230745012,2756,0.108465504348853
2022-02-01,41848,4643,0.110949149302237,5096,0.121774039380616,5119,0.12232364748614
2022-03-01,54118,6764,0.12498614139473,7378,0.136331719575742,7409,0.1369045419269
2022-04-01,35711,3882,0.108706000952088,4242,0.118786928397413,4267,0.119486992803338
2022-05-01,29342,3070,0.104628178038307,3320,0.11314838797628,3330,0.113489196373799
2022-06-01,25724,2541,0.0987793500233245,2748,0.106826310060644,2759,0.107253926294511
